character_id,voice_actor_id,voice_actor_name,voice_actor_language
255500,48604,"Iwai, Emiri",Japanese
255500,77527,"Monstrinho, Alice",Portuguese (BR)
255500,14285,"Williams, Sarah",English
184218,39127,"Kasama, Jun",Japanese
184218,50266,"Goff, Kellen",English
184218,56402,"Scafi, Andrei",Portuguese (BR)
184440,57156,"Abe, Natsuko",Japanese
184440,65197,"Kunapaneni, Anjali",English
184440,47186,"Tavares, Amanda",Portuguese (BR)
184440,60535,"Mallié, Salomé",French
184440,62219,"Hernández González, Sammir",Spanish
184440,57238,"Eikermann, Elise",German
186803,18545,"Souma, Kouichi",Japanese
186803,336,"Hebert, Kyle",English
186803,52897,"Paixão, Adriano",Portuguese (BR)
178109,30665,"Roye, Nicolas",English
178914,47439,"Kobayashi, Chiaki",Japanese
256654,34999,"Watanuki, Ryuunosuke",Japanese
256654,52898,"Monteiro, Douglas",Portuguese (BR)
187226,15877,"Kawanishi, Kengo",Japanese
187226,55766,"Peiter, Fernando",Portuguese (BR)
187226,42373,"Saab, Alejandro",English
187226,31623,"Bollen, Benjamin",French
175893,869,"Hayami, Saori",Japanese
175893,57242,"Quilichini, Clara",French
175893,51275,"Rose Lohman, Valerie",English
175893,59302,"Figueroa, Samanta",Spanish
175893,28537,"Menezes, Erika",Portuguese (BR)
183940,11141,"Sugisaki, Ryou",Japanese
183940,47618,"Machado, Arthur",Portuguese (BR)
187227,12039,"Takahashi, Hidenori",Japanese
253750,60535,"Mallié, Salomé",French
253750,55892,"Origuella, Manuela",Portuguese (BR)
253750,77579,"Gaede, Amina",German
253750,1760,"Omigawa, Chiaki",Japanese
178104,46294,"Sangregório, Bruno",Portuguese (BR)
178104,7695,"Eguchi, Takuya",Japanese
178104,56526,"Rieffel, Jean",French
178104,51277,"Whyte, Scott",English
256495,60087,"Kyan, Kazuki",Japanese
254860,55006,"Dussaut, Nicolas",French
254860,39938,"Fujiwara, Natsumi",Japanese
254860,55790,"Mafra, João Vitor",Portuguese (BR)
256830,,,
211567,,,
211564,,,
175704,720,"Miyake, Kenta",Japanese
175704,51278,"Rudd, Matthew David",English
175704,52903,"Ávila, Cassiano",Portuguese (BR)
182821,57409,"Inagaki, Konomi",Japanese
182821,78690,"Paro, Laura",Portuguese (BR)
182821,43793,"Bartley, Ryan",English
178553,5295,"Shimamura, Yuu",Japanese
178553,43880,"Buhr, Reba",English
178553,55940,"Targin, Suelen",Portuguese (BR)
178553,57500,"Colapietro, Antonella",French
178553,63299,"Hernández, Gabriela",Spanish
178553,43053,"Friede, Franciska",German
178552,47669,"Miyashita, Saki",Japanese
178552,43667,"Pellegrino, Gabriela",Portuguese (BR)
178552,57587,"Gatto, Cécile",French
178552,56690,"Ugalde, Erika",Spanish
178552,44969,"Tusk, Sarah Madeleine",German
178903,43105,"Watabe, Sayumi",Japanese
178903,52887,"Souza, Patrícia",Portuguese (BR)
178903,57560,"Maillet, Margaux",French
255445,37878,"Sugimura, Chikako",Japanese
255445,78228,"Marin, Claudia",Portuguese (BR)
178111,8609,"Araújo, Márcio",Portuguese (BR)
178111,440,"Kishio, Daisuke",Japanese
178111,20853,"Dodge, Lucien",English
256373,48896,"Tachibana, Tatsumaru",Japanese
256373,75966,"Bispo, Diego",Portuguese (BR)
244932,64390,"Izumi, Fuuka",Japanese
244932,57193,"Valadez, Azucena",Spanish
244932,76542,"Doxey, Bay",English
244932,53380,"Horta, Luísa",Portuguese (BR)
208619,25435,"Tanabe, Rui",Japanese
208619,40625,"Bittencourt, Ana Elena",Portuguese (BR)
208619,64182,"Pilar, Alejandra",Spanish
208619,76705,"Thomas, Sarah Ruth",English
208617,504,"Fujita, Saki",Japanese
208617,60998,"García, María",Spanish
208617,55949,"Manso, Amanda",Portuguese (BR)
208617,76543,"Ryder, Roo",English
208618,12961,"Han, Megumi",Japanese
208618,43636,"Palomanes, Helena",Portuguese (BR)
208618,69974,"Mendoza, Nayeli",Spanish
208618,76544,"Deuhart, Trina",English
208618,12861,"Emmanuel, Charles",Portuguese (BR)
254557,195,"Inoue, Kikuko",Japanese
